대여소_ID,주소1
515,강서구
516,강서구
517,강서구
518,강서구
519,강서구
520,강서구
521,강서구
522,강서구
523,강서구
524,강서구
525,강서구
526,강서구
527,강서구
528,강서구
529,강서구
530,강서구
531,강서구
532,강서구
533,강서구
534,강서구
535,강서구
536,강서구
537,강서구
538,강서구
539,송파구
540,송파구
541,송파구
542,송파구
543,송파구
544,송파구
545,송파구
546,송파구
547,송파구
548,송파구
549,송파구
550,송파구
551,송파구
552,송파구
553,송파구
554,서대문구
555,서대문구
556,성북구
557,성북구
558,중랑구
559,성북구
560,성북구
561,중랑구
562,성북구
563,성북구
564,성북구
565,성북구
566,중랑구
567,성북구
568,중랑구
569,중랑구
570,중랑구
571,성북구
572,성북구
573,중랑구
574,성북구
575,중랑구
576,성북구
577,중랑구
578,노원구
579,성북구
580,성북구
581,중랑구
582,성북구
583,중랑구
584,중랑구
585,중랑구
586,중랑구
587,중랑구
588,중랑구
589,중랑구
590,중랑구
591,중랑구
592,중랑구
593,중랑구
594,중랑구
595,중랑구
596,중랑구
597,성북구
598,서초구
599,중랑구
600,노원구
601,노원구
602,노원구
603,노원구
604,노원구
605,노원구
606,노원구
607,노원구
608,노원구
609,노원구
610,노원구
611,노원구
612,노원구
613,도봉구
614,도봉구
615,도봉구
616,도봉구
617,도봉구
618,서초구
619,금천구
620,금천구
621,금천구
622,금천구
623,금천구
624,금천구
625,금천구
626,금천구
627,금천구
628,금천구
629,금천구
630,금천구
631,금천구
632,금천구
633,금천구
634,금천구
635,금천구
636,금천구
637,금천구
638,금천구
639,금천구
640,금천구
641,금천구
642,금천구
643,강북구
644,강북구
645,강북구
646,강북구
647,강북구
648,강북구
649,강북구
650,강북구
651,강북구
652,강북구
653,강북구
654,강북구
655,성북구
656,도봉구
657,도봉구
658,도봉구
659,도봉구
660,금천구
661,금천구
662,구로구
663,구로구
664,구로구
665,구로구
666,구로구
667,구로구
668,구로구
669,구로구
670,구로구
671,구로구
672,구로구
673,구로구
674,구로구
675,구로구
676,구로구
677,구로구
678,구로구
679,구로구
680,구로구
681,구로구
682,구로구
683,동작구
684,동작구
685,동작구
686,동작구
687,동작구
688,동작구
689,동작구
690,동작구
691,동작구
692,동작구
693,동작구
694,동작구
695,동작구
696,동작구
697,동작구
698,동작구
699,동작구
700,동작구
701,동작구
702,관악구
703,관악구
704,관악구
705,관악구
706,관악구
707,관악구
708,관악구
709,관악구
710,관악구
711,관악구
712,관악구
713,관악구
714,관악구
715,관악구
716,관악구
717,관악구
718,관악구
719,관악구
720,관악구
721,관악구
722,관악구
723,관악구
724,관악구
725,관악구
726,동작구
727,동작구
728,동작구
729,동작구
730,동작구
731,동작구
732,동작구
733,동작구
734,도봉구
735,노원구
736,노원구
737,송파구
738,송파구
739,송파구
740,송파구
741,서초구
742,서초구
743,서초구
744,서초구
745,서초구
746,서초구
747,서초구
748,서초구
749,서초구
750,서초구
751,서초구
752,서초구
753,동작구
754,서초구
755,서초구
756,서초구
757,서초구
758,서초구
759,서초구
760,동작구
761,서초구
762,서초구
763,서초구
764,서초구
765,서초구
766,강남구
767,서초구
768,서초구
769,서초구
770,서초구
771,서초구
772,서초구
773,서초구
774,서초구
775,강남구
776,서초구
777,강남구
778,강남구
779,강남구
780,서초구
781,서초구
782,강남구
783,강남구
784,강남구
785,강남구
786,강남구
787,강남구
788,강남구
789,강남구
790,강남구
791,강남구
792,강남구
793,강남구
794,강남구
795,강남구
796,강남구
797,강남구
798,강남구
799,강남구
800,강남구
801,강남구
802,강남구
803,강남구
804,강남구
805,강남구
806,강남구
807,강남구
808,강남구
809,강남구
810,강남구
811,강남구
812,강남구
813,강남구
814,강남구
815,강남구
816,강남구
817,강남구
818,강남구
819,강남구
820,강남구
821,강남구
822,강남구
823,강남구
824,강서구
825,성북구
826,성북구
827,성북구
828,강서구
829,강서구
830,강동구
831,강서구
832,강서구
833,강서구
834,강서구
835,강서구
836,강서구
837,강서구
838,송파구
839,송파구
840,송파구
841,성북구
842,성북구
843,성북구
844,성북구
845,성북구
846,성북구
847,중랑구
848,중랑구
849,중랑구
850,중랑구
851,중랑구
852,중랑구
853,중랑구
854,중랑구
855,중랑구
856,중랑구
857,중랑구
858,강북구
859,강북구
860,강북구
861,강북구
862,강북구
863,강북구
864,도봉구
865,강북구
866,노원구
867,노원구
868,노원구
869,노원구
870,구로구
871,구로구
872,구로구
873,구로구
874,구로구
875,구로구
876,구로구
877,동작구
878,동작구
879,서초구
880,서초구
881,서초구
882,관악구
883,관악구
884,관악구
885,관악구
886,관악구
887,관악구
888,관악구
889,서초구
890,서초구
891,송파구
892,송파구
893,송파구
894,송파구
895,송파구
896,송파구
897,송파구
898,송파구
899,송파구
900,송파구
901,송파구
902,송파구
903,송파구
904,송파구
905,송파구
906,송파구
907,송파구
908,송파구
909,송파구
910,성북구
911,성북구
912,중랑구
913,노원구
914,노원구
915,노원구
916,도봉구
917,금천구
918,구로구
919,구로구
920,구로구
921,동작구
922,동작구
923,동작구
924,동작구
925,서초구
926,서초구
927,서초구
928,서초구
929,서초구
930,송파구
931,성북구
932,동작구
933,송파구
934,관악구
935,서초구
936,구로구
937,강남구
938,종로구
939,종로구
940,종로구
941,종로구
942,중랑구
943,중구
944,중구
945,중구
946,중구
947,성북구
948,강북구
949,서초구
950,관악구
951,관악구
952,금천구
953,강남구
954,강남구
955,강남구
956,강남구
957,강남구
958,강남구
959,강남구
960,강남구
961,강남구
962,강남구
963,강남구
964,노원구
965,관악구
966,강남구
967,성동구
968,마포구
969,서초구
970,노원구
971,노원구
972,광진구
973,광진구
974,광진구
975,강서구
976,관악구
977,중구
978,종로구
979,종로구
980,광진구
981,송파구
982,마포구
983,광진구
984,광진구
985,광진구
986,광진구
987,광진구
988,광진구
989,마포구
990,마포구
991,마포구
992,마포구
993,양천구
994,양천구
995,양천구
996,양천구
997,양천구
998,양천구
999,양천구
1000,양천구
1001,양천구
1002,양천구
1003,양천구
1004,양천구
1005,양천구
1006,양천구
1007,양천구
1008,양천구
1009,양천구
1010,양천구
1011,양천구
1012,양천구
1013,양천구
1014,양천구
1015,양천구
1016,양천구
1017,양천구
1018,양천구
1019,양천구
1020,은평구
1021,은평구
1022,은평구
1023,은평구
1024,은평구
1025,은평구
1027,은평구
1028,은평구
1029,은평구
1030,은평구
1031,은평구
1032,은평구
1033,은평구
1034,은평구
1035,은평구
1036,은평구
1037,은평구
1038,은평구
1039,은평구
1040,강동구
1041,강동구
1042,강동구
1043,강동구
1044,강동구
1045,강동구
1046,강동구
1047,강동구
1048,강동구
1049,강동구
1050,강동구
1051,강동구
1052,강동구
1053,강동구
1054,강동구
1055,강동구
1056,강동구
1057,강동구
1058,강동구
1059,강동구
1060,강동구
1061,강동구
1062,강서구
1063,강서구
1064,강서구
1065,강서구
1066,강서구
1067,강서구
1068,강서구
1069,강서구
1070,송파구
1072,송파구
1073,송파구
1074,송파구
1075,송파구
1076,송파구
1077,송파구
1078,송파구
1079,송파구
1080,송파구
1081,송파구
1082,송파구
1083,송파구
1084,송파구
1085,송파구
1086,송파구
1087,송파구
1088,송파구
1089,송파구
1090,송파구
1091,송파구
1092,송파구
1093,중랑구
1094,중랑구
1095,중랑구
1096,중랑구
